,Word,Count,Weight,Weight_Abs
10668,dieted,18,-1.898444667731904,1.898444667731904
7427,bubbly,37,-1.898444667731904,1.898444667731904
5079,watchers,80,-1.898444667731904,1.898444667731904
11024,lactate,16,-1.898444667731904,1.898444667731904
10696,recurrences,18,-1.898444667731904,1.898444667731904
12430,intestional,13,-1.898444667731904,1.898444667731904
12352,retro,13,1.8952306265116048,1.8952306265116048
5370,uric,72,1.8902801213517484,1.8902801213517484
10251,behavioural,19,1.8902801213517484,1.8902801213517484
9148,kindergarten,24,1.8902801213517484,1.8902801213517484
10605,morons,18,1.8902801213517484,1.8902801213517484
3622,condoms,151,-1.868591704582223,1.868591704582223
7437,hating,37,-1.868591704582223,1.868591704582223
7423,cellulite,37,-1.868591704582223,1.868591704582223
7829,involvement,34,-1.868591704582223,1.868591704582223
6217,beads,53,-1.858439333118205,1.858439333118205
1611,lighter,553,-1.8563964314884047,1.8563964314884047
11760,standpoint,14,1.8510594081984668,1.8510594081984668
12475,escitalopram,13,1.8510594081984668,1.8510594081984668
11967,feets,14,1.8510594081984668,1.8510594081984668
11883,penetration,14,1.8510594081984668,1.8510594081984668
12327,suprisingly,13,1.8510594081984668,1.8510594081984668
9580,sporanox,22,1.8510594081984668,1.8510594081984668
5811,lsd,61,1.8510594081984668,1.8510594081984668
6669,dulcolax,46,-1.8378200459154692,1.8378200459154692
10186,infertile,19,-1.8378200459154692,1.8378200459154692
10967,turmoil,17,-1.8378200459154692,1.8378200459154692
10420,plateaued,18,-1.8378200459154692,1.8378200459154692
9300,misoprostol,23,-1.8378200459154692,1.8378200459154692
10902,unattractive,17,-1.8378200459154692,1.8378200459154692
9698,voracious,22,-1.8378200459154692,1.8378200459154692
10924,boyfriends,17,-1.8378200459154692,1.8378200459154692
9143,hockey,24,1.8220718713252144,1.8220718713252144
2074,miralax,384,-1.82207168894733,1.82207168894733
6343,nauseaus,51,-1.816766636717637,1.816766636717637
1381,hormone,696,-1.8114332907422743,1.8114332907422743
10174,rewards,19,1.810237413678212,1.810237413678212
10567,averages,18,1.810237413678212,1.810237413678212
10556,useage,18,1.810237413678212,1.810237413678212
7909,butterfly,33,-1.8060713476008892,1.8060713476008892
6326,alpha,51,1.8038065233479212,1.8038065233479212
3777,fertility,141,-1.7885489969086863,1.7885489969086863
2877,himself,228,1.7841651733684367,1.7841651733684367
9639,pannic,22,1.7820665367115156,1.7820665367115156
9896,crna,21,1.7820665367115156,1.7820665367115156
8578,accupril,28,1.7820665367115156,1.7820665367115156
9292,sotalol,24,1.7820665367115156,1.7820665367115156
11038,polio,16,1.7820665367115156,1.7820665367115156
4720,januvia,92,1.7820665367115156,1.7820665367115156
12465,classical,13,1.7820665367115156,1.7820665367115156
5676,levothyroxine,64,-1.773281524777898,1.773281524777898
9754,solumedrol,21,-1.773281524777898,1.773281524777898
10329,somethings,19,-1.773281524777898,1.773281524777898
11257,merry,16,-1.773281524777898,1.773281524777898
11355,keeled,15,-1.773281524777898,1.773281524777898
4270,aromasin,112,-1.773281524777898,1.773281524777898
11134,tastebuds,16,-1.773281524777898,1.773281524777898
10961,revved,17,-1.773281524777898,1.773281524777898
11300,womb,16,-1.773281524777898,1.773281524777898
10740,pimply,17,-1.773281524777898,1.773281524777898
11340,reoccurrence,15,-1.773281524777898,1.773281524777898
11069,pregancy,16,-1.773281524777898,1.773281524777898
9457,certified,23,-1.773281524777898,1.773281524777898
3199,invega,187,1.7710167005249309,1.7710167005249309
328,periods,4914,-1.769219230769019,1.769219230769019
9186,cycled,24,1.7614472495087798,1.7614472495087798
4115,hypothyroid,121,-1.7583558745612224,1.7583558745612224
5378,cottage,72,-1.7564744064615168,1.7564744064615168
6736,autism,45,1.7557492283941418,1.7557492283941418
5018,indomethacin,82,1.7557492283941418,1.7557492283941418
2974,hypothyroidism,213,-1.7549323861097017,1.7549323861097017
11877,seperation,14,1.7456988925406407,1.7456988925406407
12307,girth,13,1.7456988925406407,1.7456988925406407
12147,respectively,13,1.7456988925406407,1.7456988925406407
12417,programmer,13,1.7456988925406407,1.7456988925406407
11925,wakeing,14,1.7456988925406407,1.7456988925406407
11640,sucralose,15,1.7456988925406407,1.7456988925406407
12404,simptoms,13,1.7456988925406407,1.7456988925406407
11668,myspace,15,1.7456988925406407,1.7456988925406407
12068,pissing,13,1.7456988925406407,1.7456988925406407
11843,obsessiveness,14,1.7456988925406407,1.7456988925406407
12334,anesthetics,13,1.7456988925406407,1.7456988925406407
12348,gurney,13,1.7456988925406407,1.7456988925406407
11818,rituals,14,1.7456988925406407,1.7456988925406407
12459,conjestion,13,1.7456988925406407,1.7456988925406407
8070,vaginitis,32,-1.7393799731022168,1.7393799731022168
7801,newest,34,-1.7393799731022168,1.7393799731022168
10116,blemish,20,-1.7393799731022168,1.7393799731022168
5656,jeans,64,-1.7393799731022168,1.7393799731022168
8263,suspended,30,1.7332763725420837,1.7332763725420837
8546,father's,28,1.7332763725420837,1.7332763725420837
8478,upto,29,1.7332763725420837,1.7332763725420837
4963,zetia,83,1.7232260366885817,1.7232260366885817
11900,panacea,14,1.7232260366885817,1.7232260366885817
7720,diffrent,35,1.7232260366885817,1.7232260366885817
8513,hydrochlorothiazide,28,1.7232260366885817,1.7232260366885817
9943,defiance,20,1.7232260366885817,1.7232260366885817
1484,tender,632,-1.7231571375953294,1.7231571375953294
7224,avg,39,1.714927233873887,1.714927233873887
10185,streets,19,1.7079585645577935,1.7079585645577935
9792,experimentation,21,1.7079585645577935,1.7079585645577935
6180,ciprofloxacin,54,1.7079585645577935,1.7079585645577935
5400,fiorinal,71,-1.7042886532909467,1.7042886532909467
11286,extremley,16,-1.7042886532909467,1.7042886532909467
